xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xournalpp 1.3.7-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.4-1
yaru-icon-theme 26.04.5.1ubuntu-1
yay 13.0.1-1
yoga 3.2.1-1
yt-dlp 2025.12.08-2
yyjson 0.13.0-1
zbar 0.23.93-7
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zip 3.0-14
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zstd 1.5.7-3
zxing-cpp 3.1.1-1
